기간,지역,총인구,9세-24세,9세-24세,0세-18세,0세-18세,학령인구,학령인구
기간,지역,총인구,계,구성비,계,구성비,계,구성비
2018,합계,"9,765,623","1,584,688",16.2,"1,437,449",14.7,"1,388,532",14.2
2018,종로구,"153,065","24,475",16,"19,179",12.5,"20,289",13.3
2018,중구,"125,725","16,223",12.9,"14,145",11.3,"13,310",10.6
2018,용산구,"228,999","32,494",14.2,"29,557",12.9,"28,164",12.3
2018,성동구,"308,221","46,054",14.9,"42,774",13.9,"38,939",12.6
2018,광진구,"355,559","58,208",16.4,"48,510",13.6,"48,143",13.5
2018,동대문구,"348,052","54,504",15.7,"45,602",13.1,"44,991",12.9
2018,중랑구,"403,209","59,367",14.7,"52,738",13.1,"50,632",12.6
2018,성북구,"435,868","74,575",17.1,"66,184",15.2,"65,608",15.1
2018,강북구,"319,164","48,470",15.2,"40,762",12.8,"41,348",13
2018,도봉구,"339,413","54,770",16.1,"48,041",14.2,"47,992",14.1
2018,노원구,"543,752","105,477",19.4,"90,994",16.7,"93,704",17.2
2018,은평구,"483,197","77,235",16,"70,925",14.7,"68,904",14.3
2018,서대문구,"310,313","50,458",16.3,"43,313",14,"42,267",13.6
2018,마포구,"375,077","59,152",15.8,"54,840",14.6,"50,937",13.6
2018,양천구,"464,185","90,970",19.6,"83,574",18,"84,261",18.2
2018,강서구,"596,949","91,032",15.3,"90,328",15.1,"81,492",13.7
2018,구로구,"404,497","60,424",14.9,"60,006",14.8,"54,453",13.5
2018,금천구,"233,917","33,580",14.4,"29,249",12.5,"28,249",12.1
2018,영등포구,"367,778","50,746",13.8,"49,014",13.3,"43,924",11.9
2018,동작구,"396,203","61,826",15.6,"54,282",13.7,"51,733",13.1
2018,관악구,"501,957","75,313",15,"54,900",10.9,"55,767",11.1
2018,서초구,"433,951","77,484",17.9,"79,380",18.3,"74,818",17.2
2018,강남구,"542,364","100,854",18.6,"93,240",17.2,"93,461",17.2
2018,송파구,"666,635","111,542",16.7,"109,541",16.4,"102,100",15.3
2018,강동구,"427,573","69,455",16.2,"66,371",15.5,"63,046",14.7
